Subj,Type,ROI,Phase,beta,var,TRAIT,STATE
MAX134,threat,Left AntDorsal Insula,early,0.006483,0.001915,58,41
MAX134,threat,Left AntDorsal Insula,late,0.056051,0.001989,58,41
MAX134,threat,Left AntVentral Insula,early,0.069456,0.001672,58,41
MAX134,threat,Left AntVentral Insula,late,0.068177,0.001686,58,41
MAX134,threat,Left Anterior  Putamen,early,-0.154340,0.001599,58,41
MAX134,threat,Left Anterior  Putamen,late,-0.107755,0.001658,58,41
MAX134,threat,Left Anterior Caudate,early,-0.045392,0.001699,58,41
MAX134,threat,Left Anterior Caudate,late,-0.059398,0.001719,58,41
MAX134,threat,Left Anterior MCC,early,0.068820,0.002159,58,41
MAX134,threat,Left Anterior MCC,late,-0.042886,0.002363,58,41
MAX134,threat,Left Anterior Thalamus,early,-0.091202,0.001586,58,41
MAX134,threat,Left Anterior Thalamus,late,-0.073880,0.001644,58,41
MAX134,threat,Left BLBM Amygdala,early,-0.155256,0.017894,58,41
MAX134,threat,Left BLBM Amygdala,late,0.206663,0.018077,58,41
MAX134,threat,Left BST,early,-0.204517,0.028922,58,41
MAX134,threat,Left BST,late,0.002535,0.028980,58,41
MAX134,threat,Left CeMe Amygdala,early,-0.214378,0.014601,58,41
MAX134,threat,Left CeMe Amygdala,late,0.009986,0.014752,58,41
MAX134,threat,Left Hypothalamus,early,0.060840,0.022449,58,41
MAX134,threat,Left Hypothalamus,late,0.091017,0.022505,58,41
MAX134,threat,Left MidPost Insula,early,-0.061015,0.000907,58,41
MAX134,threat,Left MidPost Insula,late,-0.011206,0.000939,58,41
MAX134,threat,Left PAG,early,0.314926,0.012643,58,41
MAX134,threat,Left PAG,late,0.181012,0.012647,58,41
MAX134,threat,Left Posterior Caudate,early,-0.102093,0.002444,58,41
MAX134,threat,Left Posterior Caudate,late,-0.056331,0.002508,58,41
MAX134,threat,Left Posterior Putamen,early,-0.197495,0.002697,58,41
MAX134,threat,Left Posterior Putamen,late,-0.065392,0.002797,58,41
MAX134,threat,Left Posterior Thalamus,early,-0.119937,0.001133,58,41
MAX134,threat,Left Posterior Thalamus,late,-0.068538,0.001156,58,41
MAX134,threat,Left Ventral Striatum,early,0.063689,0.002016,58,41
MAX134,threat,Left Ventral Striatum,late,0.018559,0.002036,58,41
MAX134,threat,PCC,early,-0.214434,0.005912,58,41
MAX134,threat,PCC,late,-0.095225,0.006077,58,41
MAX134,threat,PCC/precuneus,early,-0.667446,0.031713,58,41
MAX134,threat,PCC/precuneus,late,-0.515103,0.033647,58,41
MAX134,threat,Right AntDorsal Insula,early,0.097787,0.002214,58,41
MAX134,threat,Right AntDorsal Insula,late,0.077093,0.002411,58,41
MAX134,threat,Right AntVentral Insula,early,-0.074549,0.002636,58,41
MAX134,threat,Right AntVentral Insula,late,-0.017484,0.002736,58,41
MAX134,threat,Right Anterior Caudate,early,-0.000947,0.001427,58,41
MAX134,threat,Right Anterior Caudate,late,-0.052675,0.001450,58,41
MAX134,threat,Right Anterior MCC,early,0.129424,0.001900,58,41
MAX134,threat,Right Anterior MCC,late,0.141875,0.001999,58,41
MAX134,threat,Right Anterior Putamen,early,-0.019792,0.001264,58,41
MAX134,threat,Right Anterior Putamen,late,0.024371,0.001314,58,41
MAX134,threat,Right Anterior Thalamus,early,-0.051492,0.001790,58,41
MAX134,threat,Right Anterior Thalamus,late,-0.012040,0.001894,58,41
MAX134,threat,Right BLBM Amygdala,early,-0.078636,0.008935,58,41
MAX134,threat,Right BLBM Amygdala,late,-0.022875,0.008966,58,41
MAX134,threat,Right BST,early,0.454832,0.029086,58,41
MAX134,threat,Right BST,late,0.505859,0.029147,58,41
MAX134,threat,Right CeMe Amygdala,early,-0.140514,0.006005,58,41
MAX134,threat,Right CeMe Amygdala,late,0.042503,0.006030,58,41
MAX134,threat,Right Hypothalamus,early,0.033056,0.025306,58,41
MAX134,threat,Right Hypothalamus,late,0.409059,0.025604,58,41
MAX134,threat,Right MidPost Insula,early,0.036254,0.001347,58,41
MAX134,threat,Right MidPost Insula,late,0.103586,0.001419,58,41
MAX134,threat,Right PAG,early,-0.176251,0.019540,58,41
MAX134,threat,Right PAG,late,-0.157807,0.019544,58,41
MAX134,threat,Right Posterior Caudate,early,-0.317232,0.003712,58,41
MAX134,threat,Right Posterior Caudate,late,-0.163303,0.003753,58,41
MAX134,threat,Right Posterior Putamen,early,-0.070191,0.001454,58,41
MAX134,threat,Right Posterior Putamen,late,-0.038595,0.001483,58,41
MAX134,threat,Right Posterior Thalamus,early,-0.111285,0.001080,58,41
MAX134,threat,Right Posterior Thalamus,late,-0.138492,0.001094,58,41
MAX134,threat,Right Ventral Striatum,early,0.019418,0.003495,58,41
MAX134,threat,Right Ventral Striatum,late,-0.006119,0.003553,58,41
MAX134,threat,vmPFC,early,-0.456510,0.005106,58,41
MAX134,threat,vmPFC,late,-0.465620,0.005552,58,41
MAX135,safe,ACC,early,0.009393,0.002713,31,36
MAX135,safe,ACC,late,0.096361,0.002856,31,36
MAX135,safe,Left AntDorsal Insula,early,-0.120241,0.001771,31,36
MAX135,safe,Left AntDorsal Insula,late,-0.120488,0.001816,31,36
MAX135,safe,Left AntVentral Insula,early,-0.032937,0.003354,31,36
MAX135,safe,Left AntVentral Insula,late,0.062324,0.003422,31,36
MAX135,safe,Left Anterior  Putamen,early,0.057913,0.002194,31,36
MAX135,safe,Left Anterior  Putamen,late,-0.010977,0.002228,31,36
MAX135,safe,Left Anterior Caudate,early,-0.077034,0.003497,31,36
MAX135,safe,Left Anterior Caudate,late,-0.092014,0.003566,31,36
MAX135,safe,Left Anterior MCC,early,0.088178,0.001873,31,36
MAX135,safe,Left Anterior MCC,late,0.083679,0.001911,31,36
MAX135,safe,Left Anterior Thalamus,early,-0.057873,0.003636,31,36
MAX135,safe,Left Anterior Thalamus,late,-0.018923,0.003827,31,36
MAX135,safe,Left BLBM Amygdala,early,0.016488,0.009649,31,36
MAX135,safe,Left BLBM Amygdala,late,-0.106324,0.009700,31,36
MAX135,safe,Left BST,early,0.354247,0.027079,31,36
MAX135,safe,Left BST,late,0.580828,0.027368,31,36
MAX135,safe,Left CeMe Amygdala,early,-0.060754,0.008179,31,36
MAX135,safe,Left CeMe Amygdala,late,0.007354,0.008155,31,36
MAX135,safe,Left Hypothalamus,early,0.210393,0.021025,31,36
MAX135,safe,Left Hypothalamus,late,-0.153711,0.021022,31,36
MAX135,safe,Left MidPost Insula,early,-0.033158,0.001223,31,36
MAX135,safe,Left MidPost Insula,late,-0.045473,0.001266,31,36
MAX135,safe,Left PAG,early,-0.149759,0.016921,31,36
MAX135,safe,Left PAG,late,0.015387,0.016780,31,36
MAX135,safe,Left Posterior Caudate,early,-0.195819,0.003978,31,36
MAX135,safe,Left Posterior Caudate,late,-0.118883,0.004109,31,36
MAX135,safe,Left Posterior Putamen,early,-0.000575,0.002511,31,36
MAX135,safe,Left Posterior Putamen,late,0.014447,0.002528,31,36
MAX135,safe,Left Posterior Thalamus,early,0.055075,0.001180,31,36
MAX135,safe,Left Posterior Thalamus,late,0.043170,0.001175,31,36
MAX135,safe,Left Ventral Striatum,early,0.012724,0.005402,31,36
MAX135,safe,Left Ventral Striatum,late,0.112760,0.005455,31,36
MAX135,safe,PCC,early,0.397698,0.010102,31,36
MAX135,safe,PCC,late,0.478842,0.010374,31,36
MAX135,safe,PCC/precuneus,early,-0.032652,0.007977,31,36
MAX135,safe,PCC/precuneus,late,0.048312,0.008028,31,36
MAX135,safe,Right AntDorsal Insula,early,-0.085576,0.001554,31,36
MAX135,safe,Right AntDorsal Insula,late,-0.171070,0.001597,31,36
MAX135,safe,Right AntVentral Insula,early,-0.062818,0.002498,31,36
MAX135,safe,Right AntVentral Insula,late,-0.034624,0.002558,31,36
MAX135,safe,Right Anterior Caudate,early,-0.012824,0.002678,31,36
MAX135,safe,Right Anterior Caudate,late,-0.010292,0.002763,31,36
MAX135,safe,Right Anterior MCC,early,0.125283,0.003230,31,36
MAX135,safe,Right Anterior MCC,late,0.161463,0.003339,31,36
MAX135,safe,Right Anterior Putamen,early,0.039090,0.001889,31,36
MAX135,safe,Right Anterior Putamen,late,-0.023320,0.001911,31,36
MAX135,safe,Right Anterior Thalamus,early,-0.048567,0.002882,31,36
MAX135,safe,Right Anterior Thalamus,late,-0.014891,0.003034,31,36
MAX135,safe,Right BLBM Amygdala,early,0.109347,0.006060,31,36
MAX135,safe,Right BLBM Amygdala,late,0.017009,0.006030,31,36
MAX135,safe,Right BST,early,-0.008503,0.025551,31,36
MAX135,safe,Right BST,late,-0.170979,0.025580,31,36
MAX135,safe,Right CeMe Amygdala,early,0.090165,0.008005,31,36
MAX135,safe,Right CeMe Amygdala,late,0.087889,0.008055,31,36
MAX135,safe,Right Hypothalamus,early,0.304652,0.019933,31,36
MAX135,safe,Right Hypothalamus,late,0.049919,0.020418,31,36
MAX135,safe,Right MidPost Insula,early,-0.021504,0.001363,31,36
MAX135,safe,Right MidPost Insula,late,-0.064456,0.001404,31,36
MAX135,safe,Right PAG,early,0.278312,0.020015,31,36
MAX135,safe,Right PAG,late,0.196006,0.019849,31,36
MAX135,safe,Right Posterior Caudate,early,-0.173092,0.004943,31,36
MAX135,safe,Right Posterior Caudate,late,-0.060613,0.005093,31,36
MAX135,safe,Right Posterior Putamen,early,0.072152,0.001317,31,36
MAX135,safe,Right Posterior Putamen,late,0.053966,0.001325,31,36
MAX135,safe,Right Posterior Thalamus,early,-0.066410,0.001361,31,36
MAX135,safe,Right Posterior Thalamus,late,-0.120008,0.001380,31,36
MAX135,safe,Right Ventral Striatum,early,-0.064516,0.006749,31,36
MAX135,safe,Right Ventral Striatum,late,-0.044921,0.006871,31,36
MAX135,safe,vmPFC,early,0.130066,0.004352,31,36
MAX135,safe,vmPFC,late,0.286392,0.004482,31,36
MAX135,threat,ACC,early,0.077329,0.002592,31,36
MAX135,threat,ACC,late,0.000505,0.002836,31,36
MAX135,threat,Left AntDorsal Insula,early,0.075848,0.001751,31,36
MAX135,threat,Left AntDorsal Insula,late,-0.043140,0.001816,31,36
MAX135,threat,Left AntVentral Insula,early,0.043905,0.003326,31,36
MAX135,threat,Left AntVentral Insula,late,0.080806,0.003422,31,36
MAX135,threat,Left Anterior  Putamen,early,0.061734,0.002184,31,36
MAX135,threat,Left Anterior  Putamen,late,0.032596,0.002233,31,36
MAX135,threat,Left Anterior Caudate,early,0.035815,0.003479,31,36
MAX135,threat,Left Anterior Caudate,late,-0.058361,0.003585,31,36
MAX135,threat,Left Anterior MCC,early,0.192950,0.001863,31,36
MAX135,threat,Left Anterior MCC,late,-0.085859,0.001919,31,36
MAX135,threat,Left Anterior Thalamus,early,0.017330,0.003478,31,36
MAX135,threat,Left Anterior Thalamus,late,0.037327,0.003802,31,36
MAX135,threat,Left BLBM Amygdala,early,-0.017498,0.009590,31,36
MAX135,threat,Left BLBM Amygdala,late,0.185098,0.009683,31,36
MAX135,threat,Left BST,early,0.073519,0.026961,31,36
MAX135,threat,Left BST,late,0.105195,0.027429,31,36
MAX135,threat,Left CeMe Amygdala,early,-0.169860,0.008122,31,36
MAX135,threat,Left CeMe Amygdala,late,-0.007855,0.008141,31,36
MAX135,threat,Left Hypothalamus,early,0.122790,0.020850,31,36
MAX135,threat,Left Hypothalamus,late,0.164226,0.020877,31,36
MAX135,threat,Left MidPost Insula,early,0.061858,0.001206,31,36
MAX135,threat,Left MidPost Insula,late,-0.049419,0.001269,31,36
MAX135,threat,Left PAG,early,-0.197204,0.016797,31,36
MAX135,threat,Left PAG,late,-0.174224,0.016769,31,36
MAX135,threat,Left Posterior Caudate,early,-0.167268,0.003911,31,36
MAX135,threat,Left Posterior Caudate,late,-0.122886,0.004112,31,36
MAX135,threat,Left Posterior Putamen,early,0.052279,0.002510,31,36
MAX135,threat,Left Posterior Putamen,late,0.113579,0.002531,31,36
MAX135,threat,Left Posterior Thalamus,early,0.041670,0.001172,31,36
MAX135,threat,Left Posterior Thalamus,late,-0.004173,0.001178,31,36
MAX135,threat,Left Ventral Striatum,early,0.120200,0.005377,31,36
MAX135,threat,Left Ventral Striatum,late,0.035455,0.005469,31,36
MAX135,threat,PCC,early,0.366183,0.009994,31,36
MAX135,threat,PCC,late,0.209407,0.010376,31,36
MAX135,threat,PCC/precuneus,early,0.216725,0.007960,31,36
MAX135,threat,PCC/precuneus,late,-0.020118,0.008055,31,36
MAX135,threat,Right AntDorsal Insula,early,0.068749,0.001541,31,36
MAX135,threat,Right AntDorsal Insula,late,-0.047550,0.001600,31,36
MAX135,threat,Right AntVentral Insula,early,-0.068736,0.002469,31,36
MAX135,threat,Right AntVentral Insula,late,-0.041209,0.002563,31,36
MAX135,threat,Right Anterior Caudate,early,0.028557,0.002632,31,36
MAX135,threat,Right Anterior Caudate,late,-0.064460,0.002765,31,36
MAX135,threat,Right Anterior MCC,early,0.394236,0.003169,31,36
MAX135,threat,Right Anterior MCC,late,-0.022086,0.003347,31,36
MAX135,threat,Right Anterior Putamen,early,0.052064,0.001887,31,36
MAX135,threat,Right Anterior Putamen,late,0.045217,0.001916,31,36
MAX135,threat,Right Anterior Thalamus,early,0.139049,0.002754,31,36
MAX135,threat,Right Anterior Thalamus,late,-0.042928,0.003011,31,36
MAX135,threat,Right BLBM Amygdala,early,-0.111856,0.006033,31,36
MAX135,threat,Right BLBM Amygdala,late,-0.098328,0.006025,31,36
MAX135,threat,Right BST,early,-0.339072,0.025458,31,36
MAX135,threat,Right BST,late,-0.307783,0.025622,31,36
MAX135,threat,Right CeMe Amygdala,early,0.122541,0.007967,31,36
MAX135,threat,Right CeMe Amygdala,late,-0.033872,0.008064,31,36
MAX135,threat,Right Hypothalamus,early,0.134167,0.019663,31,36
MAX135,threat,Right Hypothalamus,late,0.144232,0.020177,31,36
MAX135,threat,Right MidPost Insula,early,0.084567,0.001331,31,36
MAX135,threat,Right MidPost Insula,late,-0.025142,0.001407,31,36
MAX135,threat,Right PAG,early,0.147732,0.019869,31,36
MAX135,threat,Right PAG,late,0.399647,0.019836,31,36
MAX135,threat,Right Posterior Caudate,early,-0.290590,0.004877,31,36
MAX135,threat,Right Posterior Caudate,late,-0.122144,0.005104,31,36
MAX135,threat,Right Posterior Putamen,early,0.054556,0.001313,31,36
MAX135,threat,Right Posterior Putamen,late,0.023265,0.001325,31,36
MAX135,threat,Right Posterior Thalamus,early,0.026186,0.001355,31,36
MAX135,threat,Right Posterior Thalamus,late,-0.139072,0.001380,31,36
MAX135,threat,Right Ventral Striatum,early,-0.187693,0.006717,31,36
MAX135,threat,Right Ventral Striatum,late,-0.140911,0.006893,31,36
MAX135,threat,vmPFC,early,0.155993,0.004293,31,36
MAX135,threat,vmPFC,late,-0.037906,0.004484,31,36
MAX138,safe,ACC,early,-0.031391,0.005287,35,30
MAX138,safe,ACC,late,-0.010369,0.005158,35,30
MAX138,safe,Left AntDorsal Insula,early,0.190242,0.006575,35,30
MAX138,safe,Left AntDorsal Insula,late,0.145782,0.006410,35,30
MAX138,safe,Left AntVentral Insula,early,0.245853,0.007448,35,30
MAX138,safe,Left AntVentral Insula,late,0.278452,0.007185,35,30
MAX138,safe,Left Anterior  Putamen,early,0.083227,0.010527,35,30
MAX138,safe,Left Anterior  Putamen,late,-0.122960,0.010745,35,30
MAX138,safe,Left Anterior Caudate,early,0.081459,0.013384,35,30
MAX138,safe,Left Anterior Caudate,late,-0.048096,0.013664,35,30
MAX138,safe,Left Anterior MCC,early,-0.131981,0.011308,35,30
MAX138,safe,Left Anterior MCC,late,-0.219857,0.011610,35,30
MAX138,safe,Left Anterior Thalamus,early,0.061601,0.007946,35,30
MAX138,safe,Left Anterior Thalamus,late,0.195663,0.007774,35,30
MAX138,safe,Left BLBM Amygdala,early,-0.391119,0.011733,35,30
MAX138,safe,Left BLBM Amygdala,late,-0.434519,0.011191,35,30
MAX138,safe,Left BST,early,0.355655,0.056150,35,30
MAX138,safe,Left BST,late,0.765602,0.053576,35,30
MAX138,safe,Left CeMe Amygdala,early,-0.043744,0.053920,35,30
MAX138,safe,Left CeMe Amygdala,late,-0.073335,0.052019,35,30
MAX138,safe,Left Hypothalamus,early,0.618766,0.021575,35,30
MAX138,safe,Left Hypothalamus,late,0.357944,0.020584,35,30
MAX138,safe,Left MidPost Insula,early,-0.038828,0.006711,35,30
MAX138,safe,Left MidPost Insula,late,-0.123108,0.006724,35,30
MAX138,safe,Left PAG,early,-0.109461,0.038511,35,30
MAX138,safe,Left PAG,late,0.197528,0.036788,35,30
MAX138,safe,Left Posterior Caudate,early,-0.183416,0.015376,35,30
MAX138,safe,Left Posterior Caudate,late,-0.107438,0.014993,35,30
MAX138,safe,Left Posterior Putamen,early,-0.042414,0.016583,35,30
MAX138,safe,Left Posterior Putamen,late,-0.142834,0.016490,35,30
MAX138,safe,Left Posterior Thalamus,early,0.084199,0.005112,35,30
MAX138,safe,Left Posterior Thalamus,late,0.038800,0.005058,35,30
MAX138,safe,Left Ventral Striatum,early,-0.113917,0.011231,35,30
MAX138,safe,Left Ventral Striatum,late,-0.073615,0.011257,35,30
MAX138,safe,PCC,early,0.101516,0.024704,35,30
MAX138,safe,PCC,late,0.177948,0.024563,35,30
MAX138,safe,PCC/precuneus,early,-0.395241,0.129008,35,30
MAX138,safe,PCC/precuneus,late,-0.515241,0.133754,35,30
MAX138,safe,Right AntDorsal Insula,early,-0.094166,0.005898,35,30
MAX138,safe,Right AntDorsal Insula,late,-0.185124,0.005799,35,30
MAX138,safe,Right AntVentral Insula,early,0.175172,0.009237,35,30
MAX138,safe,Right AntVentral Insula,late,0.252282,0.008891,35,30
MAX138,safe,Right Anterior Caudate,early,-0.076815,0.008172,35,30
MAX138,safe,Right Anterior Caudate,late,-0.087265,0.008085,35,30
MAX138,safe,Right Anterior MCC,early,0.051764,0.008260,35,30
MAX138,safe,Right Anterior MCC,late,-0.038336,0.008429,35,30
MAX138,safe,Right Anterior Putamen,early,-0.063402,0.008615,35,30
MAX138,safe,Right Anterior Putamen,late,-0.180193,0.008795,35,30
MAX138,safe,Right Anterior Thalamus,early,-0.084686,0.006461,35,30
MAX138,safe,Right Anterior Thalamus,late,-0.028308,0.006322,35,30
MAX138,safe,Right BLBM Amygdala,early,-0.255353,0.009600,35,30
MAX138,safe,Right BLBM Amygdala,late,-0.271901,0.009188,35,30
MAX138,safe,Right BST,early,0.173577,0.066320,35,30
MAX138,safe,Right BST,late,0.543596,0.063662,35,30
MAX138,safe,Right CeMe Amygdala,early,-0.204217,0.030037,35,30
MAX138,safe,Right CeMe Amygdala,late,-0.336193,0.029191,35,30
MAX138,safe,Right Hypothalamus,early,0.105501,0.021217,35,30
MAX138,safe,Right Hypothalamus,late,0.057667,0.020720,35,30
MAX138,safe,Right MidPost Insula,early,0.046853,0.008994,35,30
MAX138,safe,Right MidPost Insula,late,-0.146657,0.009019,35,30
MAX138,safe,Right PAG,early,0.348800,0.039839,35,30
MAX138,safe,Right PAG,late,0.624761,0.038188,35,30
MAX138,safe,Right Posterior Caudate,early,-0.093626,0.027067,35,30
MAX138,safe,Right Posterior Caudate,late,0.120301,0.027018,35,30
MAX138,safe,Right Posterior Putamen,early,0.054454,0.011739,35,30
MAX138,safe,Right Posterior Putamen,late,-0.030433,0.012627,35,30
MAX138,safe,Right Posterior Thalamus,early,0.027430,0.003940,35,30
MAX138,safe,Right Posterior Thalamus,late,-0.001111,0.003788,35,30
MAX138,safe,Right Ventral Striatum,early,-0.077956,0.011676,35,30
MAX138,safe,Right Ventral Striatum,late,-0.176837,0.011338,35,30
MAX138,safe,vmPFC,early,0.217463,0.044311,35,30
MAX138,safe,vmPFC,late,0.439950,0.045810,35,30
MAX138,threat,ACC,early,-0.169237,0.005220,35,30
MAX138,threat,ACC,late,-0.089780,0.005408,35,30
MAX138,threat,Left AntDorsal Insula,early,0.038447,0.006501,35,30
MAX138,threat,Left AntDorsal Insula,late,0.103270,0.006724,35,30
MAX138,threat,Left AntVentral Insula,early,-0.112277,0.007366,35,30
MAX138,threat,Left AntVentral Insula,late,0.013458,0.007504,35,30
MAX138,threat,Left Anterior  Putamen,early,-0.311876,0.010329,35,30
MAX138,threat,Left Anterior  Putamen,late,-0.189462,0.011222,35,30
MAX138,threat,Left Anterior Caudate,early,-0.358191,0.013129,35,30
MAX138,threat,Left Anterior Caudate,late,-0.097209,0.014266,35,30
MAX138,threat,Left Anterior MCC,early,-0.438399,0.011066,35,30
MAX138,threat,Left Anterior MCC,late,-0.233661,0.012119,35,30
MAX138,threat,Left Anterior Thalamus,early,-0.314517,0.007848,35,30
MAX138,threat,Left Anterior Thalamus,late,0.068606,0.008158,35,30
MAX138,threat,Left BLBM Amygdala,early,-0.528547,0.011448,35,30
MAX138,threat,Left BLBM Amygdala,late,-0.291727,0.011437,35,30
MAX138,threat,Left BST,early,0.438041,0.054786,35,30
MAX138,threat,Left BST,late,0.450922,0.054762,35,30
MAX138,threat,Left CeMe Amygdala,early,-1.083141,0.053324,35,30
MAX138,threat,Left CeMe Amygdala,late,-0.261639,0.054311,35,30
MAX138,threat,Left Hypothalamus,early,-0.039924,0.021052,35,30
MAX138,threat,Left Hypothalamus,late,0.048595,0.021039,35,30
MAX138,threat,Left MidPost Insula,early,-0.330857,0.006596,35,30
MAX138,threat,Left MidPost Insula,late,-0.017809,0.007053,35,30
MAX138,threat,Left PAG,early,-0.133483,0.037761,35,30
MAX138,threat,Left PAG,late,0.097248,0.037800,35,30
MAX138,threat,Left Posterior Caudate,early,-0.733248,0.015194,35,30
MAX138,threat,Left Posterior Caudate,late,-0.054337,0.015720,35,30
MAX138,threat,Left Posterior Putamen,early,-0.396027,0.016336,35,30
MAX138,threat,Left Posterior Putamen,late,0.019338,0.017305,35,30
MAX138,threat,Left Posterior Thalamus,early,0.009741,0.005036,35,30
MAX138,threat,Left Posterior Thalamus,late,0.197293,0.005258,35,30
MAX138,threat,Left Ventral Striatum,early,-0.693724,0.011058,35,30
MAX138,threat,Left Ventral Striatum,late,-0.190484,0.011732,35,30
MAX138,threat,PCC,early,-0.153333,0.024342,35,30
MAX138,threat,PCC,late,0.013511,0.025776,35,30
MAX138,threat,PCC/precuneus,early,-1.409119,0.125523,35,30
MAX138,threat,PCC/precuneus,late,-0.737323,0.138571,35,30
MAX138,threat,Right AntDorsal Insula,early,-0.157675,0.005822,35,30
MAX138,threat,Right AntDorsal Insula,late,-0.296976,0.006069,35,30
MAX138,threat,Right AntVentral Insula,early,0.028812,0.009122,35,30
MAX138,threat,Right AntVentral Insula,late,0.139600,0.009249,35,30
MAX138,threat,Right Anterior Caudate,early,-0.364725,0.008061,35,30
MAX138,threat,Right Anterior Caudate,late,-0.102162,0.008474,35,30
MAX138,threat,Right Anterior MCC,early,-0.211127,0.008106,35,30
MAX138,threat,Right Anterior MCC,late,0.057155,0.008802,35,30
MAX138,threat,Right Anterior Putamen,early,-0.357849,0.008449,35,30
MAX138,threat,Right Anterior Putamen,late,-0.172448,0.009183,35,30
MAX138,threat,Right Anterior Thalamus,early,-0.394092,0.006382,35,30
MAX138,threat,Right Anterior Thalamus,late,-0.109709,0.006633,35,30
MAX138,threat,Right BLBM Amygdala,early,-0.435519,0.009454,35,30
MAX138,threat,Right BLBM Amygdala,late,-0.189449,0.009490,35,30
MAX138,threat,Right BST,early,-0.403478,0.065362,35,30
MAX138,threat,Right BST,late,-0.045670,0.065912,35,30
MAX138,threat,Right CeMe Amygdala,early,-0.622189,0.029694,35,30
MAX138,threat,Right CeMe Amygdala,late,-0.341034,0.030518,35,30
MAX138,threat,Right Hypothalamus,early,-0.161799,0.020895,35,30
MAX138,threat,Right Hypothalamus,late,-0.031927,0.021461,35,30
MAX138,threat,Right MidPost Insula,early,-0.389347,0.008818,35,30
MAX138,threat,Right MidPost Insula,late,-0.071759,0.009447,35,30
MAX138,threat,Right PAG,early,0.201135,0.039111,35,30
MAX138,threat,Right PAG,late,0.557504,0.039333,35,30
MAX138,threat,Right Posterior Caudate,early,-0.863951,0.026625,35,30
MAX138,threat,Right Posterior Caudate,late,-0.119865,0.028352,35,30
MAX138,threat,Right Posterior Putamen,early,-0.460411,0.011307,35,30
MAX138,threat,Right Posterior Putamen,late,-0.333161,0.012922,35,30
MAX138,threat,Right Posterior Thalamus,early,-0.104632,0.003889,35,30
MAX138,threat,Right Posterior Thalamus,late,-0.054888,0.003944,35,30
MAX138,threat,Right Ventral Striatum,early,-0.577281,0.011542,35,30
MAX138,threat,Right Ventral Striatum,late,-0.295046,0.011859,35,30
MAX138,threat,vmPFC,early,-0.233113,0.043207,35,30
MAX138,threat,vmPFC,late,0.368645,0.047673,35,30
MAX139,safe,ACC,early,-0.037174,0.001400,47,31
MAX139,safe,ACC,late,-0.024021,0.001428,47,31
MAX139,safe,Left AntDorsal Insula,early,0.041744,0.001178,47,31
MAX139,safe,Left AntDorsal Insula,late,-0.015979,0.001211,47,31
MAX139,safe,Left AntVentral Insula,early,0.019516,0.003116,47,31
MAX139,safe,Left AntVentral Insula,late,-0.050002,0.003183,47,31
MAX139,safe,Left Anterior  Putamen,early,-0.068402,0.002269,47,31
MAX139,safe,Left Anterior  Putamen,late,-0.103928,0.002305,47,31
MAX139,safe,Left Anterior Caudate,early,-0.024262,0.002125,47,31
MAX139,safe,Left Anterior Caudate,late,-0.090885,0.002180,47,31
MAX139,safe,Left Anterior MCC,early,0.140506,0.001669,47,31
MAX139,safe,Left Anterior MCC,late,0.137674,0.001700,47,31
MAX139,safe,Left Anterior Thalamus,early,0.056594,0.002237,47,31
MAX139,safe,Left Anterior Thalamus,late,-0.042477,0.002330,47,31
MAX139,safe,Left BLBM Amygdala,early,0.562837,0.047326,47,31
MAX139,safe,Left BLBM Amygdala,late,0.847099,0.048897,47,31
MAX139,safe,Left BST,early,-0.514850,0.044188,47,31
MAX139,safe,Left BST,late,-0.871517,0.044897,47,31
MAX139,safe,Left CeMe Amygdala,early,0.066829,0.011025,47,31
MAX139,safe,Left CeMe Amygdala,late,0.247188,0.011257,47,31
MAX139,safe,Left Hypothalamus,early,0.979167,0.050665,47,31
MAX139,safe,Left Hypothalamus,late,0.757175,0.052347,47,31
MAX139,safe,Left MidPost Insula,early,0.105742,0.001230,47,31
MAX139,safe,Left MidPost Insula,late,0.106237,0.001264,47,31
MAX139,safe,Left PAG,early,0.260588,0.007364,47,31
MAX139,safe,Left PAG,late,0.102733,0.007455,47,31
MAX139,safe,Left Posterior Caudate,early,0.087407,0.003394,47,31
MAX139,safe,Left Posterior Caudate,late,-0.043128,0.003469,47,31
MAX139,safe,Left Posterior Putamen,early,-0.114586,0.004611,47,31
MAX139,safe,Left Posterior Putamen,late,-0.209968,0.004686,47,31
MAX139,safe,Left Posterior Thalamus,early,0.166995,0.001447,47,31
MAX139,safe,Left Posterior Thalamus,late,0.159841,0.001489,47,31
MAX139,safe,Left Ventral Striatum,early,-0.078141,0.003905,47,31
MAX139,safe,Left Ventral Striatum,late,-0.158125,0.003989,47,31
MAX139,safe,PCC,early,-0.111378,0.008574,47,31
MAX139,safe,PCC,late,0.317321,0.008815,47,31
MAX139,safe,PCC/precuneus,early,-0.207068,0.021683,47,31
MAX139,safe,PCC/precuneus,late,0.288181,0.022234,47,31
MAX139,safe,Right AntDorsal Insula,early,-0.059701,0.001825,47,31
MAX139,safe,Right AntDorsal Insula,late,-0.141901,0.001866,47,31
MAX139,safe,Right AntVentral Insula,early,0.056392,0.002241,47,31
MAX139,safe,Right AntVentral Insula,late,0.032922,0.002314,47,31
MAX139,safe,Right Anterior Caudate,early,0.019829,0.002272,47,31
MAX139,safe,Right Anterior Caudate,late,-0.097840,0.002338,47,31
MAX139,safe,Right Anterior MCC,early,0.124857,0.001939,47,31
MAX139,safe,Right Anterior MCC,late,0.119026,0.001975,47,31
